date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
2008-01-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,101.48,14.58
2008-01-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,311.25,44.72
2008-01-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,185,26.58
2008-01-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,101.51,14.58
2008-01-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,312.95,44.96
2008-01-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,236.99,34.05
2008-01-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,185.05,26.59
2008-01-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,551.37,79.22
2008-02-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,98.74,14.19
2008-02-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,319.35,45.88
2008-02-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,199.8,28.71
2008-02-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,197.39,28.36
2008-02-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,101.07,14.52
2008-02-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,322,46.26
2008-02-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,176.19,25.31
2008-02-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,194.88,28
2008-02-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,664.42,95.46
2008-03-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,100.27,14.41
2008-03-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,308.2,44.28
2008-03-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,204.7,29.41
2008-03-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,219.95,31.6
2008-03-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,497.72,71.51
2008-03-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,99.82,14.34
2008-03-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,312.6,44.91
2008-03-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,189.65,27.25
2008-03-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,211.3,30.36
2008-03-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,457.42,65.72
2008-04-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,104.87,15.07
2008-04-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,304.23,43.71
2008-04-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,223.67,32.14
2008-04-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,244.08,35.07
2008-04-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,493.62,70.92
2008-04-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,105.64,15.18
2008-04-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,298.46,42.88
2008-04-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,207.15,29.76
2008-04-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,228.38,32.81
2008-04-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,460.18,66.12
2008-04-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,290,41.67
2008-04-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,499.1,71.71
2008-05-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,134.53,19.33
2008-05-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,327.5,47.05
2008-05-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,288.74,41.49
2008-05-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,312.31,44.87
2008-05-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,564.21,81.06
2008-05-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,131.69,18.92
2008-05-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,334.26,48.03
2008-05-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,263.89,37.92
2008-05-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,302.81,43.51
2008-05-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,547.23,78.62
2008-05-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,130.22,18.71
2008-05-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,295,42.39
2008-05-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,305,43.82
2008-06-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,72.31,10.39
2008-06-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,149.87,21.53
2008-06-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,325,46.7
2008-06-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,300.14,43.12
2008-06-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,325.28,46.74
2008-06-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,557.52,80.1
2008-06-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,82.25,11.82
2008-06-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,127.29,18.29
2008-06-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,330.24,47.45
2008-06-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,258.49,37.14
2008-06-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,301.44,43.31
2008-06-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,559.91,80.45
2008-06-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,55.88,8.03
2008-06-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,145.09,20.85
2008-06-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,294.32,42.29
2008-06-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,292,41.95
2008-06-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,303.75,43.64
2008-06-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,517.8,74.4
2008-07-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,66.63,9.57
2008-07-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,145.51,20.91
2008-07-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,320,45.98
2008-07-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,282.47,40.58
2008-07-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,298.15,42.84
2008-07-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,507.87,72.97
2008-07-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,81.33,11.69
2008-07-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,131.68,18.92
2008-07-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,316.65,45.5
2008-07-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,267.32,38.41
2008-07-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,290.11,41.68
2008-07-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,524.4,75.34
2008-07-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,103.15,14.82
2008-07-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,141.07,20.27
2008-07-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,338.52,48.64
2008-07-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,278.9,40.07
2008-07-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,531.56,76.37
2008-07-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,54.42,7.82
2008-07-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,139.63,20.06
2008-07-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,296.92,42.66
2008-07-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,272.36,39.13
2008-07-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,294.04,42.25
2008-07-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,543.15,78.04
2008-08-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,68.16,9.79
2008-08-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,140.09,20.13
2008-08-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,320,45.98
2008-08-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,256.64,36.87
2008-08-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,290,41.67
2008-08-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,616.58,88.59
2008-08-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,80,11.49
2008-08-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,127.11,18.26
2008-08-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,311.96,44.82
2008-08-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,243.62,35
2008-08-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,269.6,38.74
2008-08-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,606.1,87.08
2008-08-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,113.48,16.3
2008-08-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,140.8,20.23
2008-08-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,347.44,49.92
2008-08-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,262.02,37.65
2008-08-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,633.51,91.02
2008-08-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,52.76,7.58
2008-08-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,114.11,16.4
2008-08-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,282,40.52
2008-08-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,245.91,35.33
2008-08-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,280.12,40.25
2008-08-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,605.54,87
2008-09-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,69.69,10.01
2008-09-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,139.91,20.1
2008-09-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,320,45.98
2008-09-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,236.76,34.02
2008-09-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,268.46,38.57
2008-09-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,626.48,90.01
2008-09-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,78.85,11.33
2008-09-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,129.98,18.68
2008-09-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,320.96,46.11
2008-09-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,219.07,31.48
2008-09-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,261.65,37.59
2008-09-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,647.83,93.08
2008-09-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,96.65,13.89
2008-09-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,137.61,19.77
2008-09-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,340.77,48.96
2008-09-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,222.18,31.92
2008-09-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,595.52,85.56
2008-09-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,50.46,7.25
2008-09-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,118.79,17.07
2008-09-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,260,37.36
2008-09-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,226.64,32.56
2008-09-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,250.58,36
2008-09-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,453.63,65.18
2008-10-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,68.15,9.81
2008-10-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,156.13,22.46
2008-10-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,320,46.04
2008-10-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,218.07,31.38
2008-10-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,252.59,36.34
2008-10-15,Cochabamba,Cercado,Cochabamba City,309,-17.39,-66.16,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,584.88,84.16
2008-10-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,79.56,11.45
2008-10-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,150.88,21.71
2008-10-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,318.7,45.86
2008-10-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,205.71,29.6
2008-10-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,cereals and tubers,Wheat flour (local),179,46 KG,actual,Wholesale,BOB,235.74,33.92
2008-10-15,La Paz,Murillo,La Paz City,308,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,580.28,83.49
2008-10-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,87.78,12.63
2008-10-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,156.05,22.45
2008-10-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,337.78,48.6
2008-10-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,cereals and tubers,Wheat flour (imported),339,46 KG,actual,Wholesale,BOB,207.68,29.88
2008-10-15,Oruro,Cercado,Oruro City,310,-17.98,-67.15,"meat, fish and eggs","Meat (chicken, whole)",125,46 KG,actual,Wholesale,BOB,600.56,86.41
2008-10-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,Maize (yellow),136,46 KG,actual,Wholesale,BOB,50,7.19
2008-10-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Potatoes (Irish, imilla)",128,46 KG,actual,Wholesale,BOB,135.09,19.44
2008-10-15,Santa Cruz,Andres Ibañez,Santa Cruz City,313,-17.81,-63.16,cereals and tubers,"Rice (ordinary, second quality)",198,46 KG,actual,Wholesale,BOB,260,37.41
